,Mes,temperature_2m_max,temperature_2m_min,precipitation_sum,winddirection_10m_dominant,SEREMI
61,2019-02,22.460714285714285,12.578571428571427,0.4,287.82142857142856,Valparaíso San Antonio
62,2019-03,21.958064516129035,10.49032258064516,6.1,266.80645161290323,Valparaíso San Antonio
63,2019-04,20.076666666666664,9.49,5.0,241.7,Valparaíso San Antonio
64,2019-05,17.351612903225806,7.103225806451612,16.7,206.32258064516128,Valparaíso San Antonio
65,2019-06,14.81,5.066666666666666,87.0,198.03333333333333,Valparaíso San Antonio
66,2019-07,15.080645161290322,4.296774193548386,11.3,189.70967741935485,Valparaíso San Antonio
67,2019-08,18.135483870967743,6.041935483870968,0.8,198.93548387096772,Valparaíso San Antonio
68,2019-09,16.833333333333332,6.373333333333333,5.5,249.4333333333333,Valparaíso San Antonio
69,2019-10,20.061290322580643,8.80967741935484,5.8,241.6129032258065,Valparaíso San Antonio
70,2019-11,23.246666666666663,10.623333333333331,0.1,245.56666666666663,Valparaíso San Antonio
71,2019-12,24.751612903225805,11.393548387096772,0.6,253.1290322580645,Valparaíso San Antonio
72,2020-01,22.925806451612903,12.803225806451612,0.0,283.9032258064516,Valparaíso San Antonio
73,2020-02,23.49285714285714,12.167857142857144,0.0,266.35714285714283,Valparaíso San Antonio
74,2020-03,22.774193548387096,12.096774193548388,0.4,278.7096774193548,Valparaíso San Antonio
75,2020-04,20.726666666666667,9.73,3.6,238.4333333333333,Valparaíso San Antonio
76,2020-05,20.70967741935484,8.638709677419355,3.1,187.4516129032258,Valparaíso San Antonio
77,2020-06,14.223333333333333,5.3,177.7,172.06666666666666,Valparaíso San Antonio
78,2020-07,15.48709677419355,5.593548387096774,80.5,162.0,Valparaíso San Antonio
79,2020-08,15.483870967741936,5.025806451612904,22.9,209.96774193548387,Valparaíso San Antonio
80,2020-09,17.75,6.963333333333334,1.2,225.4,Valparaíso San Antonio
81,2020-10,19.080645161290324,7.367741935483871,1.5,235.96774193548387,Valparaíso San Antonio
82,2020-11,20.53333333333333,9.816666666666666,1.0,257.2,Valparaíso San Antonio
83,2020-12,22.296774193548387,10.98709677419355,0.0,258.0,Valparaíso San Antonio
84,2021-01,22.73548387096774,11.99032258064516,22.9,270.7741935483871,Valparaíso San Antonio
85,2021-02,22.014285714285712,12.560714285714283,0.1,278.8928571428572,Valparaíso San Antonio
86,2021-03,21.25483870967742,11.5,1.6,273.258064516129,Valparaíso San Antonio
87,2021-04,19.436666666666667,9.77,11.2,270.03333333333336,Valparaíso San Antonio
88,2021-05,19.61290322580645,7.535483870967742,9.5,180.70967741935485,Valparaíso San Antonio
89,2021-06,17.02,6.746666666666667,34.8,172.23333333333332,Valparaíso San Antonio
90,2021-07,15.570967741935483,3.896774193548387,11.8,172.0,Valparaíso San Antonio
91,2021-08,14.806451612903226,5.580645161290323,35.3,237.4516129032258,Valparaíso San Antonio
92,2021-09,17.67,6.510000000000001,34.0,233.2,Valparaíso San Antonio
93,2021-10,20.561290322580643,7.919354838709677,4.1,252.03225806451613,Valparaíso San Antonio
94,2021-11,21.076666666666664,9.73,0.6,261.76666666666665,Valparaíso San Antonio
95,2021-12,21.429032258064517,11.406451612903227,1.3,272.5483870967742,Valparaíso San Antonio
96,2022-01,23.75483870967742,12.606451612903228,0.5,239.70967741935485,Valparaíso San Antonio
97,2022-02,22.975,12.332142857142856,2.8,263.32142857142856,Valparaíso San Antonio
98,2022-03,23.532258064516128,10.67741935483871,1.5,237.6129032258065,Valparaíso San Antonio
99,2022-04,19.636666666666667,8.453333333333333,51.900000000000006,252.6,Valparaíso San Antonio
100,2022-05,16.75483870967742,6.632258064516129,1.7,210.06451612903223,Valparaíso San Antonio
101,2022-06,14.59,5.613333333333333,89.7,149.46666666666667,Valparaíso San Antonio
102,2022-07,13.603225806451611,4.593548387096774,147.79999999999998,175.7741935483871,Valparaíso San Antonio
103,2022-08,15.196774193548388,5.764516129032257,55.7,207.58064516129036,Valparaíso San Antonio
104,2022-09,16.296666666666667,6.666666666666667,7.6,238.83333333333331,Valparaíso San Antonio
105,2022-10,19.970967741935485,8.14516129032258,1.7,231.32258064516128,Valparaíso San Antonio
106,2022-11,20.62,10.016666666666667,3.0,271.1,Valparaíso San Antonio
107,2022-12,24.461290322580645,12.290322580645162,5.0,258.0967741935484,Valparaíso San Antonio
108,2023-01,23.506451612903227,12.203225806451613,1.2,264.06451612903226,Valparaíso San Antonio
109,2023-02,24.389285714285712,12.653571428571428,0.0,282.85714285714283,Valparaíso San Antonio
110,2023-03,24.5,12.451612903225806,0.1,269.258064516129,Valparaíso San Antonio
111,2023-04,21.21333333333333,10.496666666666666,18.5,260.93333333333334,Valparaíso San Antonio
112,2023-05,18.793548387096774,8.012903225806452,40.3,209.6129032258065,Valparaíso San Antonio
113,2023-06,17.28666666666667,7.430000000000001,81.0,181.2333333333333,Valparaíso San Antonio
114,2023-07,16.69677419354839,5.383870967741935,95.1,178.09677419354838,Valparaíso San Antonio
115,2023-08,17.551612903225806,7.17741935483871,136.2,245.25806451612905,Valparaíso San Antonio
116,2023-09,17.60666666666667,6.8133333333333335,42.6,220.76666666666668,Valparaíso San Antonio
117,2023-10,19.36774193548387,7.338709677419355,10.5,239.80645161290323,Valparaíso San Antonio
118,2023-11,21.043333333333333,8.503333333333334,17.9,244.33333333333331,Valparaíso San Antonio
119,2023-12,23.4,10.535483870967743,0.9,267.0,Valparaíso San Antonio
120,2024-01,24.68387096774193,12.064516129032258,0.6,276.83870967741933,Valparaíso San Antonio
121,2024-02,26.15357142857143,13.196428571428571,2.2,277.2142857142857,Valparaíso San Antonio
122,2024-03,25.71935483870968,11.029032258064516,0.1,263.5806451612903,Valparaíso San Antonio
123,2024-04,22.31,8.84,11.3,235.76666666666668,Valparaíso San Antonio
124,2024-05,15.783870967741937,3.967741935483871,67.4,167.5483870967742,Valparaíso San Antonio
125,2024-06,15.33,6.513333333333334,345.5,198.16666666666663,Valparaíso San Antonio
126,2024-07,15.48709677419355,2.7548387096774194,1.1,164.61290322580646,Valparaíso San Antonio
